s,sLabel,freebaseID
http://www.wikidata.org/entity/Q46295,peoples of the Caucasus,/m/09r2kh
http://www.wikidata.org/entity/Q115026,Swedish Americans,/m/065b6q
http://www.wikidata.org/entity/Q125564,Manx people,/m/097r55
http://www.wikidata.org/entity/Q145665,Manchu,/m/013z8m
http://www.wikidata.org/entity/Q165192,Swedes,/m/06mvq
http://www.wikidata.org/entity/Q188353,Welsh people,/m/06gbnc
http://www.wikidata.org/entity/Q217397,Wolof people,/m/08c25t
http://www.wikidata.org/entity/Q310983,Malagasy people,/m/09g34_
http://www.wikidata.org/entity/Q340520,Aceh,/m/02dd5z
http://www.wikidata.org/entity/Q385799,Afrikaners,/m/012fh
http://www.wikidata.org/entity/Q482942,Azerbaijanis,/m/033qt1
http://www.wikidata.org/entity/Q582779,Sikh,/m/078vc
http://www.wikidata.org/entity/Q620089,Punjabi diaspora,/m/05ms3p0
http://www.wikidata.org/entity/Q948126,Hungarian Americans,/m/08hpk0
http://www.wikidata.org/entity/Q1041917,Spanish Americans,/m/042gtr
http://www.wikidata.org/entity/Q1064662,Serbs of Bosnia and Herzegovina,/m/06dy2k
http://www.wikidata.org/entity/Q1200528,Malaysian Chinese,/m/0338zd
http://www.wikidata.org/entity/Q1209676,Mexicans,/m/09k5jvk
http://www.wikidata.org/entity/Q1280677,Serbs of Croatia,/m/09vmyh
http://www.wikidata.org/entity/Q1282294,Gujarati people,/m/0g0x7_
http://www.wikidata.org/entity/Q1413685,Filipino Americans,/m/03295l
http://www.wikidata.org/entity/Q1464994,Latino,/m/04pnf
http://www.wikidata.org/entity/Q2254415,Italian Canadians,/m/05sf2x
http://www.wikidata.org/entity/Q2533689,Dalmatian Italians,/m/0289z8v
http://www.wikidata.org/entity/Q2552898,Kiwi,/m/02jvpv
http://www.wikidata.org/entity/Q2983498,Sierra Leone Creole people,/m/02ry8mk
http://www.wikidata.org/entity/Q3026394,Serbian Canadians,/m/026cybk
http://www.wikidata.org/entity/Q3026377,Indian diaspora in France,/m/03h1dq9
http://www.wikidata.org/entity/Q3243684,Kayastha,/m/0583cz
http://www.wikidata.org/entity/Q3453511,Baltic Russians,/m/05y2yj
http://www.wikidata.org/entity/Q3476364,Scottish Australians,/m/047948f
http://www.wikidata.org/entity/Q3707477,Filipino Australians,/m/09y7x4
http://www.wikidata.org/entity/Q4855425,Bangladeshi American,/m/08j1fb
http://www.wikidata.org/entity/Q5029681,Canadian Americans,/m/0g8_vp
http://www.wikidata.org/entity/Q5099734,Swedish Canadians,/m/06k6sl
http://www.wikidata.org/entity/Q5098860,Chileans in the United Kingdom,/m/07s49c2
http://www.wikidata.org/entity/Q5501667,French-speaking Quebecer,/m/02qv716
http://www.wikidata.org/entity/Q6913088,Moroccan Americans,/m/065z7w_
http://www.wikidata.org/entity/Q7042073,Niyogi,/m/06lshc
http://www.wikidata.org/entity/Q7032863,Nigerian Americans,/m/0bvjpj
http://www.wikidata.org/entity/Q7258666,Stateside Puerto Ricans,/m/0gkxl2
http://www.wikidata.org/entity/Q7541693,Slovene Americans,/m/04_tz7
http://www.wikidata.org/entity/Q7507476,Sicilian Americans,/m/0fj1k9
http://www.wikidata.org/entity/Q7981927,Welsh Italians,/m/03cnzsg
http://www.wikidata.org/entity/Q9149944,Iraqi Americans,/m/0268pvf
http://www.wikidata.org/entity/Q12223,Kurds,/m/04c28
http://www.wikidata.org/entity/Q34069,Ashkenazi Jews,/m/013b6_
http://www.wikidata.org/entity/Q49085,African Americans,/m/0x67
http://www.wikidata.org/entity/Q102251,Sephardi Jews,/m/013b7g
http://www.wikidata.org/entity/Q105405,Cherokee,/m/0dbxy
http://www.wikidata.org/entity/Q115473,Hazaras,/m/03nvq
http://www.wikidata.org/entity/Q117191,Cree,/m/0dq1q
http://www.wikidata.org/entity/Q140713,Tulu people,/m/074w_m
http://www.wikidata.org/entity/Q133032,Hungarians,/m/0g5y6
http://www.wikidata.org/entity/Q170826,Irish people,/m/03bkbh
http://www.wikidata.org/entity/Q189975,Inuit,/m/03r_k
http://www.wikidata.org/entity/Q200263,Parsi,/m/0bymc
http://www.wikidata.org/entity/Q219517,Dalit,/m/04wysy
http://www.wikidata.org/entity/Q207996,Xhosa people,/m/0hj35
http://www.wikidata.org/entity/Q237534,Austrians,/m/019lrz
http://www.wikidata.org/entity/Q241696,Somalis,/m/05cc9h
http://www.wikidata.org/entity/Q402913,Bengali,/m/0bpjh3
http://www.wikidata.org/entity/Q573598,history of the Jews in India,/m/04zjjt
http://www.wikidata.org/entity/Q686949,Cajun,/m/0fqz6
